paraid,LUGAR,Latitude,Longitude,Descricao,Tags
135,Sala Renata/valeria,-10.6815443,-37.4364774,"Sala dos professores Renata Kaminski e Valéria de Barros, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
125,Sala Luciano/ivy,-10.6815479,-37.4364717,"Sala dos professores Luciano Fraga e Ivy Nobre, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
126,Sala Christina/marcia,-10.6815357,-37.4365665,"Sala dos professores Christina Ramalho e Márcia Regina, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
127,Sala Derli/luiz,-10.6815318,-37.4366178,"Sala dos professores Derli de Oliveira e Luiz Costa, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
128,Sala Fabio/Jeane,-10.6815324,-37.4365826,"Sala dos professores Fábio Elias e Jeane de Cássia, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
137,entrada escada,-10.6815282,-37.4367419,"Entrada para a escada na parte de trás do Bloco D, oferecendo acesso facilitado aos departamentos.","Bloco D, Escada, Departamento"
140,Sala reunioes bloco D parte de baixo,-10.6815351,-37.4367097,"Sala de reuniões localizada na parte de trás do Bloco D.","Bloco D, Reunião"
97,Sala Maria/Jessica,-10.681578,-37.436398,"Sala das professoras Maria Rufino e Jéssica Mendonça, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Contabilidade"
99,Sala Gustavo/luiz bruno,-10.681636,-37.436474,"Sala dos professores Edjane Oliveira, Gustavo Costa e Luiz Lisboa, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Contabilidade"
32,Sala Pablo/Silvia,-10.6816000,-37.4364569,"Sala dos professores Pablo de Andrade e Silvia Correira, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Contabilidade"
109,Sala flavio/Assirleide,-10.6815911,-37.4364683,"Sala dos professores Flávio Reis e Assirleide Brito, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Contabilidade"
111,Sala alex fabiano/juliano,-10.6816412,-37.4364153,"Sala dos professores Alex Santana e Juliano de Faria, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Contabilidade"
130,Sala eder/wagner,-10.6815822,-37.4364093,"Sala dos professores Éder de Souza e Wagner Santos, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
131,Sala charles/viviane,-10.681561,-37.436470,"Sala dos professores Charles Amorim e Viviane Aquino, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
133,Sala alejandro/aislan,-10.681589,-37.436427,"Sala dos professores Alejandro Roque e Aislan Fontes, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
113,Secretaria contábeis,-10.6816389,-37.4363707,"Secretaria do Departamento de Contabilidade, localizada no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Contabilidade"
110,Laboratório contabilidade,-10.6816415,-37.4363811,"Laboratório utilizado para a área de Contabilidade.","Bloco D, Departamento, Laboratório, Contabilidade"
134,Secretaria de matemática,-10.6815960,-37.4363402,"Secretaria do Departamento de Matemática, localizada no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Matemática"
112,giec,-10.681612,-37.4363654,"Grupo de Pesquisa Gestão da Informação e Evidenciação Contábil, localizado no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Contabilidade, Pesquisa"
120,Laboratório Matemática,-10.6815117,-37.4363483,"Laboratório utilizado para a área de Matemática, localizado no Bloco D.","Bloco D, Departamento, Laboratório, Matemática"
118,Sala alan almeida/ricardo,-10.6815525,-37.4363825,"Sala dos professores Alan Almeida e Ricardo Benito, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
121,Sala marta elid/teresa cristina,-10.6814952,-37.4363694,"Sala dos professores Marta Amorim e Teresa Cristina, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
117,Sala fabio lima/samuel,-10.6815417,-37.4364167,"Sala dos professores Fábio lima e Samuel Brito, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
119,Sala rafael neves/mateus,-10.6815114,-37.4363583,"Sala dos professores Rafael Neves e Mateus Alegri, localizado no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Matemática"
122,Sala moacir heloisa,-10.6815746,-37.4364546, "Sala dos professores Moacir S. Andrade e Heloisa de Mello, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Quimica"
124,Sala jean paul/luciene,-10.6815581,-37.4365085,"Sala dos professores Jean Paul d'Antony e Luciene Lages, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
23,101D,-10.6817690,-37.4364529,"Uma das maiores Salas localizada no Bloco D, equipada com projetor, acesso a Wi-Fi e ar-condicionado.","Bloco D, Sala de aula"
22,108D,-10.6817621,-37.4365092,"Sala de aula equipada com projetor e acesso a Wi-Fi, localizada no Bloco D.","Bloco D, Sala de aula"
24,107D,-10.6818471,-37.4365216,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
25,102D,-10.6818893,-37.4364472,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
27,103D,-10.6819021,-37.4364502,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
29,104D,-10.6819486,-37.4364462,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
26,106D,-10.6818873,-37.4365236,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
28,105D,-10.6819370,-37.4365360,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
36,Entrada bloco C,-10.6817957,-37.4356730,"Entrada de acesso para o Bloco C","Bloco C, Entrada"
39,1 Andar BlocoC escada1,-10.6817169,-37.4355503,"1º Andar no Bloco C, com acesso a escada 1.","Bloco C, Escada"
42,Hall Superior Bloco C,-10.6817782,-37.4356009,"1º Andar no Bloco C, onde encontram-se várias Salas de aula.","Bloco C, Hall"
50,104C,-10.6817104,-37.4355423,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
51,110C,-10.6816389,-37.4356040,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
52,105C,-10.6816761,-37.4355617,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
