paraid,LUGAR,Latitude,Longitude,Descricao,Tags
157,Sala Marcelo Alves/Vanessa Dias,-10.681555,-37.436453,"Sala dos professores Marcelo Alves e Vanessa Dias, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
165,Sala maria andréa,-10.6814573,-37.4364676,"Sala da professora Maria Andrea Rocha Escobar, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Administração"
144,Secretaria administração,-10.6815285,-37.4364422,"Secretaria do Departamento de Administração, localizada no Bloco D.","Bloco D, Secretaria, Administração"
Sala 6 no departamento de biologia,-10.6815908,-37.4365655,"0","0, 0, 0"
Sala 3 no departamento de biologia,-10.6815908,-37.4365655,"0","0, 0, 0"
146,Sala José Ronaldo/Eduardo José,-10.6815911,-37.4366068,"Sala dos professores Jose Ronaldo dos Santos, Eduardo José dos Reis Dias, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
139,Sala Marcos Vinicius Meiado,-10.6815957,-37.4366219,"Sala do professor Marcos Vinicius Meiado, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
141,Sala lia midori/márcio andrei,-10.6815940,-37.4366214,"Sala dos professores Lia Midori Meyer Nascimento, Márcio Andrei Guimarães, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
145,Sala Célia Gomes/Ricardo santos,-10.6815949,-37.4366214,"Sala dos professores Célia Gomes de Siqueira, Ricardo Santos do Carmo, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
Sala 9 no departamento de biologia,-10.6815937,-37.4366210,"0","0, 0, 0"
142,Sala juliano ricardo fabricante,-10.6815940,-37.4366205,"Sala do professor Juliano Ricardo Fabricante, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
141,Sala márcio andrei guimarães/lia midori/tainan amorim,-10.6816161,-37.4366990,"Sala dos professores Márcio Andrei Guimarães, Lia Midori Meyer Nascimento, Tainan Amorim, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Biologia"
143,Secretaria biociências,-10.6816160,-37.4366987,"Secretaria do Departamento de Biociências, localizada no Bloco 0.","Bloco 0, Secretaria, Biociências"
150,laboratório de informática Educação,-10.681788,-37.436243,"Laboratório de informática utilizado para a área de Educação.","Bloco D, Departamento, Laboratório, Educação"
149,Secretaria Educação,-10.681701,-37.436283,"Secretaria do Departamento de Educação, localizada no Bloco D.","Bloco D, Secretaria, Educação"
152,Sala Bruno Cerqueira/Dilma Barros/Maria Jeane,-10.681713,-37.436340,"Sala dos professores Bruno Cerqueira, Dilma Barros e Maria Jeane localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
153,Sala Joelma carvalho/Marilene Santos/Simone,-10.681614,-37.436335,"Sala dos professores Joelma Carvalho, Marilene Santos e Simone Rodrigues, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
87,Sala João Paulo/Marcos Aurélio/Paulo Sérgio,-10.681565,-37.436392,"Sala dos professores João Paulo, Marcos Aurélio e Paulo Sérgio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
154,Sala Lívia Jéssica/Maria Batista/Marilene Batista,-10.681594,-37.436451,"Sala dos professores Lívia Jéssica, Maria Batista e Marilene Batista localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
148,Sala Fernanda Amorim/Isabela Rosália/Sule Samaio,-10.681587,-37.436447,"Sala dos professores Fernanda Amorim, Isabela Rosália e Sule Samaio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
147,Sala Daisy Mara/Mônica Andrade/Paulo Sérgio,-10.681572,-37.436450,"Sala dos professores Daisy Mara, Mônica Andrade e Paulo Sérgio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Educação"
91,entrada departamento inferior - Bloco D,"-10,6816306","-37,4364576"
129,entrada corredor 1 inferior - Bloco D,"-10,6815707","-37,4364727"
151,entrada corredor 2 inferior - Bloco D,"-10,6815123","-37,4364971"
178,escada esq xerox,"-10,6816207","-37,4357666"
179,escada dir xerox,-10.6818622,-37.4358115
181,entrada principal auditorio,"-10,6817084","-37,4357679"
187,auditorio,-10.681.690,-37.436.118
177,entrada lateral do auditorio,-10.681.623,-37.436.054
186,entrada lateral evento auditorio,-10.681.896,-37.436.056
182,hall eventos auditorio,-10.681.968,-37.436.017
183,esquina auditorio,-10.6818813,"-37,4359087"
180,hall auditorio bancos,-10.681.883,-37.435855
