LUGAR,Latitude,Longitude
lab ensino e pesquisa,"-10,6817275","-37,4347735"
itatech empresa junior,"-10,6817301","-37,4348157"
lab pesquisa em letras,"-10,6817301","-37,4348157"
lab interdisciplinar de formação educador (life),"-10,6819598","-37,4348037"
Sala C 106 nt/planilha ,-10.6817281,-37.4357089
banheiro bloco C parte superior faltando na planilha ,"-10,6819825","-37,4356066"
banheiro corredor inferior C ,"-10,6819683","-37,4356194"
labev inferior C ,"-10,6819410"," -37,4356338"
LQD I bloco C inferior ,"-10,6819238","-37,4355366"
LAPEC I parte inferior bloco c ,"-10,6818774","-37,4355396"
LECoB bloco C inferior ,"-10,6818517","-37,4356090"
LAPEQ II ,"-10,6818949","-37,4355215"
LABNEURO ,"-10,6818662","-37,4356150"
LAPEQ III ,"-10,6817957"," -37,4355282"
lab de preparação de matérias e magnetismo ,"-10,6816982","-37,4355510"
LQD II ,"-10,6815407","-37,4355895"
lab de ensino de física ii ,"-10,6815716","-37,4355721"
sala de fornos ,"-10,6815746","-37,4356127"
lab de ensino de física i ,"-10,6816046","-37,4356130"
sala de materiais ,"-10,6815829"," -37,4355624"
Sala C - Departamento de Biociências ,-10.6819021,-37.4355289
térreo bloco D ,"-10,6816306","-37,4364576"
hall departamento inferior ,"-10,6815707","-37,4364727"
hall departamento superior ,"-10,6816049","-37,4364653"
lab informatica departamento de letras,"-10,6815631","-37,4366336"
secretaria física ,"-10,6815453","-37,4366547"
sala camilo bruno e renato santos,"-10,6815548"," -37,4365287"
sala celso josé viana,"-10,6814820"," -37,4366339"
sala josé gerivaldo e fabiano rabelo,"-10,6814626"," -37,4365930"
sala adilmo fancisco e tiago nery,"-10,6814781","-37,4365917"
sala luciara benedita e diógenes reyes,"-10,6814776","-37,4365892"
sala cristiano teles e juliana marcela,"-10,6814646","-37,4364857"
sala antônio vinícius e alessandra cabral,"-10,6814557","-37,4364512"
sala ivanilda silva e valdice barbosa,"-10,6814543","-37,4364510"
sala daniele monique e josé maxuel,"-10,6814540","-37,4364505"
Sala valdenira Meneses e marcos Antônio ,"-10,6814547"," -37,4364589"
Sala de estudos ,-10.681473,-37.436484
Sala cristiano Aprigio e Daniel Rodrigues,-10.681564,-37.436476
Sala Fabrícia de Oliveira e Larissa Monteriro,-10.681613,-37.436416
Sala Daniel Almeida e José Hunaldo,-10.681554,-37.436438
Sala Josefa de Lisboa e Ana Rocha ,-10.681606,-37.436427
Sala Oscar Alfredo e Marleide Maria ,"-10,6816115"," -37,4363727"
Secretaria  Geografia ,"-10,6815720"," -37,4363345"
laboratório informática geografia ,"-10,6815641"," -37,4363308"
Sala Marcelo Alves e Vanessa Dias,-10.681555,-37.436453
sala maria andréa,"-10,6814573","-37,4364676"
